ZIP_CODE,CITY_STATE_NAME,STATE_ABBREV,CTYST_MAILING_NAME_IND,STATE_ABBREV,PREFD_LAST_LINE_CTYST_NAM,COUNTY_NO,COUNTY_NAME,FINANCE_NO
10012,NEW YORK                    ,NY,Y,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10012,PRINCE                      ,NY,Y,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10012,NYC                         ,NY,N,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10012,MANHATTAN                   ,NY,N,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10012,NY                          ,NY,N,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10013,NEW YORK CITY               ,NY,N,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10013,NY CITY                     ,NY,N,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10013,NEW YORK                    ,NY,Y,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10013,CANAL STREET                ,NY,Y,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10013,CHINATOWN                   ,NY,Y,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10013,NYC                         ,NY,N,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10013,MANHATTAN                   ,NY,N,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10013,NY                          ,NY,N,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10014,NEW YORK CITY               ,NY,N,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10014,NY CITY                     ,NY,N,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10014,NEW YORK                    ,NY,Y,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10014,NYC                         ,NY,N,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10014,MANHATTAN                   ,NY,N,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10014,NY                          ,NY,N,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10016,NEW YORK CITY               ,NY,N,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10016,NY CITY                     ,NY,N,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10016,NEW YORK                    ,NY,Y,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10016,NYC                         ,NY,N,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10016,MANHATTAN                   ,NY,N,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10016,NY                          ,NY,N,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10017,NEW YORK CITY               ,NY,N,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10017,NY CITY                     ,NY,N,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10017,NEW YORK                    ,NY,Y,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10017,GRAND CENTRAL               ,NY,N,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10017,NYC                         ,NY,N,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10017,MANHATTAN                   ,NY,N,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10017,NY                          ,NY,N,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10018,NEW YORK CITY               ,NY,N,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10018,NY CITY                     ,NY,N,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10018,NEW YORK                    ,NY,Y,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10018,NYC                         ,NY,N,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10018,MANHATTAN                   ,NY,N,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10018,NY                          ,NY,N,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10019,NEW YORK CITY               ,NY,N,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10019,NY CITY                     ,NY,N,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10019,NEW YORK                    ,NY,Y,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10019,NYC                         ,NY,N,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10019,MANHATTAN                   ,NY,N,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10019,NY                          ,NY,N,NY,NEW YORK                    ,61,NEW YORK                 ,355825
10020,NEW YORK CITY               ,NY,N,NY,NEW YORK                    ,61,NEW YORK                 ,355825
